;;;BFKC;;;DSK;;;KMC;;;TURTLE;;
n;t;k;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set;AVG User time;AVG Percent of CPU;AVG Resident set
75;75;20;1,042307692;99,61538462;1689,538462;0,211538462;132,0769231;673000,3077;0,332307692;87,69230769;37051,07692;0,197692308;99,69230769;177412
80;80;20;1,41;99,76923077;1704,307692;0,208461538;128,8461538;672991,6923;0,328461538;87,69230769;37049,84615;0,193846154;99,53846154;177456
80;85;20;1,599230769;99,84615385;1728,923077;0,227692308;135,2307692;673010,4615;0,325384615;87,30769231;37050,76923;0,196923077;99,53846154;177443,6923
80;90;20;1,786153846;99,69230769;1750,769231;0,218461538;135,1538462;672992,3077;0,334615385;88;37050,15385;0,196153846;99,69230769;177408,6154
80;95;20;1,995384615;99,92307692;1796;0,21;133,3076923;672982,1538;0,336923077;88,53846154;37051,69231;0,191538462;99,30769231;177428,9231
80;100;20;2,215384615;99,69230769;1771,692308;0,214615385;134,3846154;672980,3077;0,333076923;87,46153846;37050,15385;0,195384615;99,61538462;177425,2308
80;105;20;2,427692308;99,69230769;1778,461538;0,221538462;135,8461538;673014,1538;0,327692308;88;37061,84615;0,198461538;99,30769231;177490,1538
80;110;20;2,678461538;99,69230769;1823,692308;0,228461538;135,4615385;673025,8462;0,332307692;87;37063,69231;0,198461538;99,46153846;177522,4615
80;115;20;2,924615385;99,61538462;1821,230769;0,219230769;134,8461538;673050,7692;0,328461538;87,61538462;37062,76923;0,197692308;99,30769231;177496
80;120;20;3,176153846;99,61538462;1842,153846;0,227692308;135,4615385;673011,6923;0,331538462;87,84615385;37062,76923;0,199230769;99,46153846;177473,8462
80;125;20;3,437692308;99,61538462;1820,923077;0,22;135,7692308;673001,8462;0,320769231;88,30769231;37062,15385;0,195384615;99,30769231;177509,5385
80;130;20;3,739230769;99,84615385;1856,615385;0,22;134,9230769;672996,6154;0,325384615;87,69230769;37061,84615;0,198461538;99,61538462;177720
80;135;20;4,001538462;99,69230769;1852,307692;0,221538462;136;673002,1538;0,323846154;87,15384615;37063,07692;0,196153846;99,23076923;177834,1538
80;140;20;4,325384615;99,61538462;1906,461538;0,214615385;134,0769231;673000,3077;0,324615385;88,38461538;37062,46154;0,196923077;99,23076923;177761,8462
80;145;20;4,640769231;99,61538462;1887,384615;0,232307692;134,6153846;672962,7692;0,324615385;88,76923077;37062,46154;0,194615385;99,46153846;177660,3077
80;150;20;4,97;99,84615385;1906,153846;0,228461538;134,8461538;672983,0769;0,322307692;88,07692308;37063,07692;0,195384615;99,38461538;177787,6923
80;155;20;5,301538462;99,61538462;1928;0,217692308;135,3846154;672955,0769;0,326153846;87,53846154;37074,15385;0,196153846;99,53846154;177794,4615
80;160;20;5,650769231;99,76923077;1943,076923;0,226153846;133,4615385;672977,2308;0,326923077;87,30769231;37076;0,198461538;99,38461538;177799,6923
80;165;20;5,996923077;99,69230769;1972,923077;0,21;129;672977,8462;0,326923077;87,84615385;37074,46154;0,196923077;99,53846154;177819,0769
80;170;20;6,379230769;99,76923077;1972,615385;0,226923077;134,6153846;672972,3077;0,323076923;87,69230769;37073,23077;0,195384615;99,53846154;177735,6923
80;175;20;6,773076923;99,76923077;1946,769231;0,226153846;135,2307692;673001,5385;0,325384615;87,69230769;37075,07692;0,197692308;99,61538462;177774,1538
80;180;20;7,159230769;99,76923077;1989,846154;0,216153846;132,9230769;673015,3846;0,321538462;87,53846154;37074,15385;0,196153846;99,76923077;177786,7692
80;185;20;7,560769231;99,69230769;2025,230769;0,231538462;135,9230769;673014,1538;0,323846154;87,61538462;37074,46154;0,196153846;99,46153846;177772,9231
80;190;20;7,946153846;99,76923077;2012,923077;0,223076923;134,8461538;673007,3846;0,326923077;87,84615385;37074,15385;0,195384615;65,30769231;177805,2308
80;195;20;8,387692308;99,84615385;2015,384615;0,22;135;672979,0769;0,322307692;87,30769231;37073,84615;0,198461538;65,38461538;177732,6154
